Blind Guardian,2002,A Night at the Opera,spotify:album:38AEPlCWUaU4JOXcylCexR
Bo Diddley,1990,The Chess Box,spotify:album:5cERxgxqQGUNmqEjsaz0B8
Bob Dylan,1979,Slow Train Coming,spotify:album:5k4z33VjpVmkOB18IgOD8E
Bob Marley & The Wailers,1984,Legend,spotify:album:4mFwVyByhtRgdrjtO5tZr2
Body Count,1997,Violent Demise The Last Days,spotify:album:7edm0VSzok2VtW0tpEFGDo
Bon Iver,2008,For Emma, Forever Ago,spotify:album:1r5JEclOv0s5S8GhFet0Wx
Bonobo,2006,Days to Come,spotify:album:5HLoU4oijKdSIFOk2o7mYn
Booka Shade,2006,Movements,spotify:album:01VSZEe3mkHLzNSPMRoAdX
Booka Shade,2008,The Sun & the Neon Light,spotify:album:6tR5Kg1s8OT9zrrr0ZWNaR
Booka Shade,2010,More!,spotify:album:2J7u8Jz4VjalvGU05DKEeB
Boys Noize,2007,Oi Oi Oi,spotify:album:5McKybquvC9GQ3Ppifsmxf
Brainpower,2001,Door Merg & Brain,spotify:album:4NiSlbaegWsMIFuDl4YWIq
Brant Bjork,1999,Jalamanta,spotify:album:1ryZqUZiY09DvOO7Fht9Lu
Brooklyn Funk Essentials,1998,In the Buzzbag,spotify:album:4vuTF0lJOhkaMJk1T81fqU
Buck 65,2003,Talkin' Honky Blues,spotify:album:1IlNP9D2GEfg5cr96tweC7
Buena Vista Social Club,1999,Buena Vista Social Club,spotify:album:6DPdEaZ0KDBCCgXyy4q8bi
Buraka Som Sistema,2006,From Buraka to the World EP,
Buraka Som Sistema,2008,Black Diamond,spotify:album:5wCt1tK0FYXqjvqRNB7nWl
Burial,2007,Untrue,spotify:album:1C30LhZB9I48LdpVCRRYvq
Béla Bartók,1943,Concerto for Orchestra,
C-mon & Kypski,2006,Where the Wild Things Are,spotify:album:3HTHzwlcuRLgbjVdmP0Q0k
Cake,2001,Comfort Eagle,spotify:album:5OCg9OWnL1PY4tW2ON8ssj
Captain Beefheart,1972,Clear Spot,spotify:album:3m2ltFkbJ34zxghz9vlY6p
Captain Beefheart,1972,The Spotlight Kid,spotify:album:2yBGak7HYVxKmVwZBVcxbX
Caribou,2005,The Milk of Human Kindness,spotify:album:4oG14WGnh4TXMI92JQJ5SZ
Caribou,2010,Swim,spotify:album:198uSF0lTPBy7PtflbPhGT
Caspian,2007,The Four Trees,spotify:album:5YLiRxgbbmQhfvGVdHFJT4
Charizma & Peanut Butter Wolf,2003,Big Shots,spotify:album:5RosKCtF8yOxkdbE0pytph
Charlie Parker,2001,Portrait of a Genius,
Concord Dawn,2001,Disturbance,spotify:album:5YVNHqguCCVYYb9ImgZWoL
Creedence Clearwater Revival,1995,Forever - 36 Greatest Hits,
Crystal Castles,2008,Crystal Castles,spotify:album:3LnVvIeiLCngvwEnbdxwCT
CSS,2005,Cansei de Ser Sexy,spotify:album:4hE0UliYSCQiItKmKRDBaD
Cujo,1996,Adventures in Foam (2002 re-issue),
Curtis Mayfield,1972,Superfly,spotify:album:6i5mfaptb1l9yi5Jxf8Gef
Cypress Hill,1991,Cypress Hill,spotify:album:4tQSV1ZGpwlo3dBiTRuKvM
Cypress Hill,1993,Black Sunday,spotify:album:02lktkm4J7K7N8T63Gm7KX
Cypress Hill,1995,III (Temples Of Boom),spotify:album:6qXA1ntdtDFyKL3fcltsjP
Cypress Hill,1998,IV,spotify:album:6hA3Co05aVKGAHYemCPJlp
D.I.T.C.,2000,D.I.T.C,spotify:album:1LtskoW9DkoA4xgST9LXJW
Daft Punk,2005,Human After All,spotify:album:2T7DdrOvsqOqU9bGTkjBYu
Danger Mouse & Sparklehorse,2009,Dark Night of the Soul,spotify:album:0DmKQGWmKXQ3zmjTIQQzK1
Danger Mouse,2004,The Grey Album,
De Amersfoortse Coöperatie,2005,Professioneel Chillen,spotify:album:0b8uErqyyk7vY1KgtX3Veg
De Amsterdam Klezmer Band,1999,De Amsterdam Klezmer Band,
De La Soul,2004,The Grind Date,spotify:album:1RmcAYmGiRHFBjhgkrg3AA
De Sjonnies,2002,Krenten uit de pap,spotify:album:1nt7HVjImkNz8Sd5L96wi7
De Staat,2009,Wait for Evolution,
deadmau5,2007,Full Circle,
Death From Above 1979,2004,You're A Woman, I'm A Machine,spotify:album:5AGKxoQIJ6MKDOiITKwH9z
Death in Vegas,1997,Dead Elvis,spotify:album:0sIneyoFWF20AD3YcWYZOn
Death in Vegas,1999,The Contino Sessions,spotify:album:4qUKzyXuy3GSzQD5RTJLdq
Deep Forest,1992,Deep Forest,spotify:album:1HhXOuJ1YaKZwIXAL6ywP5
Deep Purple,1968,Shades of Deep Purple,spotify:album:5qxy4Qf0ug4rV9YVYGQRn2
Deftones,1997,Around the Fur,spotify:album:7o4UsmV37Sg5It2Eb7vHzu
Delorean,2010,Subiza,spotify:album:6jhoK83VIkt8Yr5L3Hcnsi
Die Antwoord,2009,$O$,spotify:album:7Ja0MmZhnVdFjs5QOPj1lj
Fever Ray,2009,Fever Ray,spotify:album:0XwEfJMejqTpgalJwtp1CM
Finntroll,2001,Jaktens Tid,spotify:album:2eq7YYYJorU2XOMxntJsqt
Fisherspooner,2005,Odyssey,
Flogging Molly,2002,Drunken Lullabies,spotify:album:7EtBU4Uen8tfOq0Ah9tqz3
Flogging Molly,2004,Within a Mile of Home,spotify:album:0qVJEliXJswOdaabP9hGmJ
Foals,2008,Antidotes,spotify:album:5zUndTRjHpsB5UTsPp5MeM
Fun Lovin' Criminals,1996,Come Find Yourself,spotify:album:2kLxemkoUhfXKvJ78MabBN
Fun Lovin' Criminals,1998,100% Colombian,spotify:album:6uGfAFBUrLI0ZyrucnNhsm
Gang Starr,1991,Step in The Arena,spotify:album:05wcY4zcfSawCyoutTTxda
Global Communication,1994,76'14,
Godspeed You! Black Emperor,1999,Slow Riot for New Zerø Kanada,
Godspeed You! Black Emperor,2000,Lift Yr. Skinny Fists Like Antennas to Heaven!,
Goldfrapp,2000,Felt Mountain,spotify:album:6cJfHiiiH0fH6Ly5uRE902
Goose,2006,Bring It On,spotify:album:1Y0Hf2c2pu8nwzXOrnqPXL
Grandmaster Flash & The Furious Five,1982,The Message,spotify:album:6hrwAx3KoigDlYJx2TCAwC
Grateful Dead,1970,American Beauty,spotify:album:7rqgm1BnAZ8I4d6hukpkdg
Grizzly Bear,2009,Veckatimest,spotify:album:6FIFqclBriPCb0SjWDaHIk
Groove Armada,1999,Vertigo,spotify:album:1KzGIlZIlhRwUIoPlexdax
Guardner,2002,Remixes,
Guru,1993,Jazzmatazz, Volume 1,spotify:album:64J8girYqmK86ebqBayrjQ
GZA-Genius,1995,Liquid Swords,
H. Amézquita,2003,Multi,spotify:album:0gy888IV0lj4VEcE1foWYK
Heiko Laux,2002,Ornaments,spotify:album:3Z7Ddl3zW8xR5mEm1lvpdR
Heiko Laux,2003,Offshore Funk,
Heiko Laux,2005,Spread,spotify:album:7ltYwY98I4EZxv2rC4hLdi
Heiko Laux,2006,Waves,spotify:album:1B87hEjmZPGrSrwvKh3s8T
Hermano,2002,...Only A Suggestion,spotify:album:6g4e3epvCUwb3RZ3cJ3G7O
Hermano,2007,... Into the Exam Room,spotify:album:29LPLbpmlByJAUkq7PBO2p
Hexstatic,2004,Master-View,spotify:album:1Yta5y5Kz8xRyE9FE0GbFf
Hexstatic,2007,When Robots Go Bad,spotify:album:6rK7BZ8hh130CnXWTbEQA8
Hint,2003,Portakabin Fever,spotify:album:0S45wbgwrHKBVOvmKVMmnT
Hot Chip,2006,The Warning,spotify:album:25wuY7cXE8zjFnJRiU1ehS
Howlin' Wolf,1988,20 Blues Classics - Moanin' At Midnight,
HṚṢṬA,2007,Ghosts Will Come and Kiss Our Eyes,spotify:album:59bvXbFGwPSiHJjdEQ4z5Q
Ice Cube,1992,The Predator,spotify:album:71HM1CMYWeZzws8pyiEn46
Ice-T,1991,O.G. Original Gangster,spotify:album:08Bjvwbg1cFsFfXSdhG23I
Ice-T,1993,Home Invasion,spotify:album:4I90PuuX5yUO0XwWCfgFZm
Jack Johnson,2005,In Between Dreams,spotify:album:2B9q4KPjOEYu885Keo9dfX
James Brown,1992,Love Power Peace Live at the Olympia, Paris, 1971,spotify:album:17CzII6yMCKvKupQtq7zbW
James Brown,2004,Gold - Greatest Hits,
James Holden,2006,At the Controls,
Jamiroquai,1993,Emergency on Planet Earth,spotify:album:0SeTonJJPjy57LqiCDmeEM
Jamiroquai,1994,The Return of the Space Cowboy,spotify:album:3emhnEQ76nUUehouSvnGxk
Janelle Monae,2008,Metropolis - The Chase Suite (Special Edition),
Jazzanova,2002,In Between,spotify:album:66kiWj82pS3nk9D2uzoeZq
Jazzsteppa,2009,Jazzsteppa,
Jim White,2007,Transnormal Skiperoo,spotify:album:6FEr0N9qPMr4eFBgGZrVkE
Jimi Hendrix,1994,Blues,
Joanna Newsom,2006,Ys,
Joe Satriani,2002,Strange Beautiful Music,spotify:album:5vhvp7K599FbKoxYHnBRFn
John B,2006,Electrostep,spotify:album:4Gy39ZIjCOHGZhPg6tcslL
John Coltrane,1960,Giant Steps,
John Lee Hooker,1991,The Best Of,
Johnny Cash,2000,American III - Solitary Man,
Johnny Cash,2002,American IV - The Man Comes Around,
Jovink en de Voederbietels,1996,Eenzaam Aan De Top,
Jovink en de Voederbietels,1997,Live (Niet Goed Wel Hard),
Jovink en de Voederbietels,2003,Happy Achterhooker,
Junkie XL,2008,Booming Back At You,
Juno Reactor,2002,Odyssey 1992-2002,
Jurassic 5,1997,Jurassic 5 LP,
Jurassic 5,2000,Quality Control,spotify:album:6I4sWoNs2IlWUyMmJ7VDFw
Jurassic 5,2002,Power in Numbers,spotify:album:2w9KjhjN2oMGhEvE15HK5T
Jurassic 5,2006,Feedback,spotify:album:5ih6yrp3o9jjWiSi67SPAX
Justice,2007,Cross,
Jónsi,2010,Go,spotify:album:1fgtiyeUDIoUayYbwroqVH
K's Choice,1995,Paradise In Me,spotify:album:78s4jaVIZI4KzXOeHwvXAx
K's Choice,1998,Cocoon Crash,spotify:album:7Jio08vZvMzwGb41cBLQwt
Kaiser Chiefs,2005,Employment,spotify:album:6jOas0sYexfB4MDNShABrw
Kaiser Chiefs,2007,Yours Truly, Angry Mob,spotify:album:4J2DGuw6IwLdEwQL94msiU
Karma To Burn,1997,Karma To Burn,spotify:album:2m9Iy95UNh7KbHKeRImWlZ
Karma To Burn,1999,Wild, Wonderful Purgatory,spotify:album:0ZdnhvOeK6JKKTyP69esw0
Karma To Burn,2001,Almost Heathen,spotify:album:6i5spOTphbou9SqbqxnpGW
Kelis,1999,Kaleidoscope,spotify:album:2VQFbPduHKk3SAyczWfpok
Kid Koala,2000,Carpal Tunnel Syndrome,spotify:album:5lfLRbkcciGaRHRCK6x3e3
kid606,1999,cares,
kid606,2001,PS I Dub Ya EP,
kid606,2004,Do Sheep Dream of Macrobiotic Humans-,
Kimya Dawson,2002,I'm Sorry That Sometimes I'm Mean,
Kimya Dawson,2004,Hidden Vagenda,spotify:album:12025laJ05m1gjmZVLNv2B
King Crimson,1969,In The Court Of The Crimson King,spotify:album:6tVg2Wl9hVKMpHYcAl2V2M
Koop,2006,Koop Islands,spotify:album:3vbvhBzSe3KnqkROlMMQTq
Kraftwerk,1975,Radio-Aktivität (Radio-Activity),
Kraftwerk,1977,Trans-Europa Express,spotify:album:3eB8X3S4gPMQHiLdmxvvhg
Kyteman,2009,The Hermit Sessions,spotify:album:18apjrkeqqQB1ABzdA8gia
Kyuss,1994,Welcome to Sky Valley,spotify:album:2NU3mpjBFtZPUYjjT9pJoq
Kyuss,1995,...And the Circus Leaves Town,spotify:album:6O5lhr0v3ci9fMEIK5g5a9
Lady Sovereign,2006,Public Warning,spotify:album:4hYpyDcWxBQQPVlTaljf4o
Ladytron,2001,604,spotify:album:0Rg5gPR4pbwQrnfmTO9yxK
Laidback Luke,2002,Electronic Satisfaction,
Lali Puna,1999,Tridecoder,spotify:album:4njCkEDzldDrg21ic9OBVy
Lali Puna,2001,Scary World Theory,spotify:album:08FP6j08db3ZHH5vADaoZ6
Lali Puna,2004,Faking the Books,spotify:album:6NUMXxMBXsCuth2PXt4d79
Laurent Garnier,2000,Unreasonable Behaviour,spotify:album:6m3bqwLNNT9rCvkzArbCwt
Lauryn Hill,1998,The Miseducation of Lauryn Hill,spotify:album:1BZoqf8Zje5nGdwZhOjAtD
Le Peuple de l'Herbe,2005,Cube,spotify:album:5bZ8W3m3i4A7sHFI2ycvOe
Le Peuple de l'Herbe,2007,Radio Blood Money,spotify:album:3WtEQMJASmPBJDpwTgpvCZ
Led Zeppelin,1969,Led Zeppelin,spotify:album:3ycjBixZf7S3WpC5WZhhUK
Lee Morgan,1963,The Sidewinder,spotify:album:1n1trPeeY9Q5H4eLbbHHRg
Liars,2006,Drum's Not Dead,spotify:album:4v5nBIpVwsQHpRxDaFBlnX
Liars,2007,Liars,spotify:album:4lztLzsr09Chhi3JWzoWqV
Lou Donaldson,1967,The Natural Soul,spotify:album:4L5BnNOFyRefwj2BO0uoTY
Lupe Fiasco,2006,Lupe Fiasco's Food & Liquor,spotify:album:0TDJRkEr2SrhWTetdkEzED
M.I.A. & Diplo,2004,Piracy Funds Terrorism, Volume 1,
M.I.A.,2005,Arular,spotify:album:7CzEknt9gJwe0QC89ir1JX
M.I.A.,2007,Kala,spotify:album:2xoj2gYed3IYmGWn3owSfu
Maceo Parker,1992,Life on Planet Groove,spotify:album:5GlkTpCBgyu1C8K25p9zj7
Mahala Raï Banda,2004,Mahala Raï Banda,spotify:album:2xJGsbu6bpqNRNRczB64NP
Major Lazer,2009,Guns Don't Kill People... Lazers Do,
Manu Chao,1998,Clandestino,spotify:album:3xoAUqjKs7Ps7wR26VAMbq
Manu Chao,2004,Siberie m'etait contéee,spotify:album:7EZSOlWZFjsLLZkDwtFCPS
Marc Ribot & Los Cubanos Postizos,1998,The Prosthetic Cubans,
Marike Jager,2004,Focus,
Marike Jager,2006,The Beauty Around,spotify:album:0SPo9kOXAqFXKiqIXPD2Zk
Marvin Gaye,1971,What's Going On,spotify:album:2v6ANhWhZBUKkg6pJJBs3B
Mase,1997,Harlem World,spotify:album:21YtqAiqXNGuvWNBS0JvOy
Massive Attack,1998,Mezzanine,spotify:album:49MNmJhZQewjt06rpwp6QR
Massive Attack,2010,Heligoland,spotify:album:1F8y2bg9V9nRoy8zuxo3Jt
Matt and Kim,2009,Grand,spotify:album:4bQi4sDv5BugGpaQWJiEXa
Metallica,1991,Metallica,spotify:album:2Kh43m04B1UkVcpcRa1Zug
MGMT,2010,Congratulations,spotify:album:3HA1Ru1gEAgaxTywkJmBOL
Michael Jackson,2003,Number Ones,
Miles Davis,1956,My Funny Valentine,spotify:album:4RvpKDJOaZviOSomNRyob4
Miles Davis,1958,Ascenseur pour l'échafaud,spotify:album:0aoOdlpGLfNCUFhQu7UIs2
